Date,Open,High,Low,Close,Adj Close,Volume
10/23/2020,1.307839,1.311441,1.30227,1.307805,1.307805,0
10/26/2020,1.305364,1.307258,1.299545,1.305466,1.305466,0
10/27/2020,1.301727,1.307788,1.300255,1.301575,1.301575,0
10/28/2020,1.303169,1.306353,1.291839,1.303186,1.303186,0
10/29/2020,1.298786,1.302524,1.288361,1.298988,1.298988,0
10/30/2020,1.293209,1.298752,1.290006,1.293193,1.293193,0
11/02/2020,1.292708,1.294247,1.285678,1.292674,1.292674,0
11/03/2020,1.2924,1.307702,1.291606,1.29239,1.29239,0
11/04/2020,1.313267,1.313767,1.291789,1.312164,1.312164,0
11/05/2020,1.296109,1.313249,1.294264,1.29668,1.29668,0
11/06/2020,1.313836,1.317593,1.309552,1.31394,1.31394,0
11/09/2020,1.317922,1.320585,1.312164,1.318061,1.318061,0
11/10/2020,1.31676,1.327633,1.315876,1.316968,1.316968,0
11/11/2020,1.326154,1.329451,1.319435,1.326154,1.326154,0
11/12/2020,1.322401,1.322874,1.31256,1.322419,1.322419,0
11/13/2020,1.312388,1.318687,1.311131,1.312164,1.312164,0
11/16/2020,1.321982,1.324188,1.316864,1.322052,1.322052,0
11/17/2020,1.322314,1.32714,1.319383,1.322209,1.322209,0
11/18/2020,1.325926,1.331115,1.324503,1.325908,1.325908,0
11/19/2020,1.324486,1.32635,1.319958,1.325645,1.325645,0
11/20/2020,1.325047,1.329557,1.32496,1.324924,1.324924,0
11/23/2020,1.330336,1.339764,1.326665,1.330513,1.330513,0
11/24/2020,1.332356,1.337972,1.329593,1.332907,1.332907,0
11/25/2020,1.336237,1.339351,1.330707,1.336327,1.336327,0
11/26/2020,1.338473,1.33987,1.332303,1.338545,1.338545,0
11/27/2020,1.33522,1.338115,1.329593,1.335452,1.335452,0
11/30/2020,1.333067,1.338133,1.330637,1.333191,1.333191,0
12/01/2020,1.333725,1.343851,1.331913,1.333689,1.333689,0
12/02/2020,1.342228,1.34414,1.329169,1.342264,1.342264,0
12/03/2020,1.337095,1.350001,1.335434,1.337077,1.337077,0
12/04/2020,1.345261,1.353766,1.341814,1.345497,1.345497,0
12/07/2020,1.341562,1.343653,1.322741,1.341742,1.341742,0
12/08/2020,1.335702,1.338491,1.329169,1.335738,1.335738,0
12/09/2020,1.336648,1.347654,1.336273,1.336559,1.336559,0
