Date,Open,High,Low,Close,Adj Close,Volume
10/23/2020,28409.650391,28436.519531,28149.820313,28335.570313,28335.570313,347300000
10/26/2020,28185.820313,28185.820313,27370.160156,27685.380859,27685.380859,404150000
10/27/2020,27651.179688,27707.689453,27457.960938,27463.189453,27463.189453,366400000
10/28/2020,27102.140625,27102.140625,26497.390625,26519.949219,26519.949219,496150000
10/29/2020,26480.980469,26891.890625,26290.779297,26659.109375,26659.109375,419770000
10/30/2020,26572.269531,26639.179688,26143.769531,26501.599609,26501.599609,504820000
11/02/2020,26691.279297,27043.480469,26691.279297,26925.050781,26925.050781,379990000
11/03/2020,27138.689453,27640.210938,27138.689453,27480.029297,27480.029297,350980000
11/04/2020,27512.830078,28301.5,27512.830078,27847.660156,27847.660156,447860000
11/05/2020,28083.369141,28495.050781,28083.369141,28390.179688,28390.179688,390140000
11/06/2020,28399.130859,28431.960938,28189.5,28323.400391,28323.400391,326710000
11/09/2020,29467.900391,29933.830078,29130.660156,29157.970703,29157.970703,673310000
11/10/2020,29254.169922,29478.859375,29126.990234,29420.919922,29420.919922,526980000
11/11/2020,29524.349609,29593.109375,29281.220703,29397.630859,29397.630859,376700000
11/12/2020,29231.910156,29311.830078,28902.130859,29080.169922,29080.169922,369320000
11/13/2020,29203.900391,29559.25,29203.900391,29479.810547,29479.810547,348810000
11/16/2020,29672.359375,29964.289063,29672.359375,29950.439453,29950.439453,418290000
11/17/2020,29800.150391,29872.419922,29520.289063,29783.349609,29783.349609,372380000
11/18/2020,29875.400391,29930.849609,29432.839844,29438.419922,29438.419922,382850000
11/19/2020,29370.919922,29524.900391,29228.380859,29483.230469,29483.230469,331330000
11/20/2020,29437.570313,29469.890625,29231.199219,29263.480469,29263.480469,305350000
11/23/2020,29332.820313,29667.75,29332.820313,29591.269531,29591.269531,387200000
11/24/2020,29746.109375,30116.509766,29746.109375,30046.240234,30046.240234,432760000
11/25/2020,30058.869141,30058.869141,29806.25,29872.470703,29872.470703,323030000
11/27/2020,29911.330078,30015.130859,29819.980469,29910.369141,29910.369141,177040000
11/30/2020,29854.509766,29854.509766,29463.640625,29638.640625,29638.640625,551350000
12/01/2020,29797.5,30083.310547,29797.5,29823.919922,29823.919922,429510000
12/02/2020,29695.089844,29902.509766,29599.289063,29883.789063,29883.789063,385280000
12/03/2020,29920.830078,30110.880859,29877.269531,29969.519531,29969.519531,405680000
12/04/2020,29989.560547,30218.259766,29989.560547,30218.259766,30218.259766,356590000
12/07/2020,30233.029297,30233.029297,29967.220703,30069.789063,30069.789063,365810000
12/08/2020,29997.949219,30246.220703,29972.070313,30173.880859,30173.880859,311190000
12/09/2020,30229.810547,30319.699219,29951.849609,30068.810547,30068.810547,380520000
12/10/2020,30032.550781,30063.869141,29876.820313,29999.259766,29999.259766,325550000
12/11/2020,29988.210938,30071.130859,29820.839844,30046.369141,30046.369141,393870000
12/14/2020,30123.910156,30325.789063,29849.150391,29861.550781,29861.550781,371980000
12/15/2020,29919.089844,30243.259766,29894.949219,30199.310547,30199.310547,417770000
12/16/2020,30191.380859,30236.029297,30080.109375,30154.539063,30154.539063,344590000
12/17/2020,30216.0,30323.779297,30216.0,30303.369141,30303.369141,345530000
12/18/2020,30314.259766,30343.589844,30029.439453,30179.050781,30179.050781,782070000
12/21/2020,30159.0,30304.140625,29755.529297,30216.449219,30216.449219,437480000
12/22/2020,30200.199219,30200.199219,29992.890625,30015.509766,30015.509766,388810000
12/23/2020,30046.730469,30292.529297,30046.730469,30129.830078,30129.830078,274050000
12/24/2020,30155.919922,30209.669922,30099.300781,30199.869141,30199.869141,145570000
12/28/2020,30283.230469,30525.560547,30283.230469,30403.970703,30403.970703,302490000
12/29/2020,30492.070313,30588.789063,30274.240234,30335.669922,30335.669922,357610000
12/30/2020,30415.089844,30525.349609,30393.039063,30409.560547,30409.560547,291890000
12/31/2020,30417.640625,30637.470703,30344.5,30606.480469,30606.480469,284470000
01/04/2021,30627.470703,30674.279297,29881.820313,30223.890625,30223.890625,475080000
01/05/2021,30204.25,30504.890625,30141.779297,30391.599609,30391.599609,350910000
01/06/2021,30362.779297,31022.650391,30313.070313,30829.400391,30829.400391,500430000
01/07/2021,30901.179688,31193.400391,30897.859375,31041.130859,31041.130859,427810000
01/08/2021,31069.580078,31140.669922,30793.269531,31097.970703,31097.970703,381150000
01/11/2021,31015.369141,31096.980469,30832.060547,31008.689453,31008.689453,356540000
01/12/2021,31015.009766,31114.560547,30888.759766,31068.689453,31068.689453,362620000
01/13/2021,31084.880859,31153.369141,30992.050781,31060.470703,31060.470703,413250000
01/14/2021,31085.669922,31223.779297,30982.240234,30991.519531,30991.519531,427810000
01/15/2021,30926.769531,30941.980469,30612.669922,30814.259766,30814.259766,433000000
01/19/2021,30887.419922,31086.619141,30865.029297,30930.519531,30930.519531,386400000
01/20/2021,31017.539063,31235.980469,30997.789063,31188.380859,31188.380859,384980000
01/21/2021,31198.009766,31272.220703,31120.919922,31176.009766,31176.009766,418780000
01/22/2021,31141.560547,31141.560547,30908.470703,30996.980469,30996.980469,436040000
01/25/2021,30989.849609,30989.849609,30564.060547,30960.0,30960.0,472890000
01/26/2021,30968.550781,31121.419922,30921.710938,30937.039063,30937.039063,373150000
01/27/2021,30893.779297,30893.779297,30206.910156,30303.169922,30303.169922,566470000
01/28/2021,30377.189453,30951.410156,30377.189453,30603.359375,30603.359375,465140000
01/29/2021,30553.910156,30553.910156,29856.300781,29982.619141,29982.619141,536320000
02/01/2021,30054.730469,30335.910156,30014.970703,30211.910156,30211.910156,347060000
02/02/2021,30276.880859,30840.539063,30276.880859,30687.480469,30687.480469,333160000
02/03/2021,30689.650391,30793.410156,30521.310547,30723.599609,30723.599609,305590000
02/04/2021,30737.779297,31065.960938,30737.779297,31055.859375,31055.859375,338330000
02/05/2021,31093.810547,31252.179688,31083.220703,31148.240234,31148.240234,293550000
02/08/2021,31191.199219,31386.099609,31191.199219,31385.759766,31385.759766,322250000
02/09/2021,31359.880859,31439.470703,31245.859375,31375.830078,31375.830078,308210000
02/10/2021,31428.019531,31511.439453,31221.320313,31437.800781,31437.800781,326450000
02/11/2021,31466.490234,31543.820313,31244.359375,31430.699219,31430.699219,280320000
02/12/2021,31420.800781,31475.310547,31347.800781,31458.400391,31458.400391,263090000
02/16/2021,31472.080078,31608.630859,31443.480469,31522.75,31522.75,329210000
02/17/2021,31485.609375,31643.699219,31338.759766,31613.019531,31613.019531,343510000
02/18/2021,31558.599609,31558.599609,31285.320313,31493.339844,31493.339844,325990000
02/19/2021,31504.130859,31647.529297,31469.339844,31494.320313,31494.320313,353070000
02/22/2021,31381.119141,31653.480469,31286.570313,31521.689453,31521.689453,387210000
02/23/2021,31501.890625,31653.380859,31158.759766,31537.349609,31537.349609,460410000
02/24/2021,31499.75,32009.640625,31421.289063,31961.859375,31961.859375,410150000
02/25/2021,31955.939453,31984.769531,31293.320313,31402.009766,31402.009766,454110000
02/26/2021,31401.289063,31450.890625,30911.369141,30932.369141,30932.369141,532250000
03/01/2021,31065.900391,31668.339844,31065.900391,31535.509766,31535.509766,385670000
03/02/2021,31535.369141,31623.269531,31377.160156,31391.519531,31391.519531,337270000
03/03/2021,31352.960938,31563.310547,31260.140625,31270.089844,31270.089844,409660000
03/04/2021,31289.009766,31461.970703,30547.529297,30924.140625,30924.140625,537850000
03/05/2021,31029.179688,31580.330078,30766.810547,31496.300781,31496.300781,501810000
03/08/2021,31512.150391,32148.039063,31512.150391,31802.439453,31802.439453,496980000
03/09/2021,31892.349609,32150.320313,31822.640625,31832.740234,31832.740234,458690000
03/10/2021,31906.960938,32389.5,31906.960938,32297.019531,32297.019531,409110000
03/11/2021,32354.5,32661.589844,32345.699219,32485.589844,32485.589844,400020000
03/12/2021,32462.400391,32793.320313,32462.400391,32778.640625,32778.640625,346400000
03/15/2021,32798.839844,32973.398438,32629.75,32953.460938,32953.460938,360080000
03/16/2021,32966.75,32966.75,32778.230469,32825.949219,32825.949219,386370000
03/17/2021,32825.519531,33047.578125,32782.179688,33015.371094,33015.371094,391200000
03/18/2021,32928.160156,33227.78125,32831.25,32862.300781,32862.300781,418480000
03/19/2021,32858.359375,32858.359375,32505.070313,32627.970703,32627.970703,811890000
03/22/2021,32601.820313,32810.351563,32512.529297,32731.199219,32731.199219,383500000
03/23/2021,32691.5,32753.769531,32356.279297,32423.150391,32423.150391,385840000
03/24/2021,32470.880859,32787.988281,32418.150391,32420.060547,32420.060547,399390000
03/25/2021,32346.810547,32672.689453,32071.410156,32619.480469,32619.480469,411990000
03/26/2021,32681.070313,33098.828125,32681.070313,33072.878906,33072.878906,382170000
03/29/2021,33087.550781,33259.0,32905.128906,33171.371094,33171.371094,351610000
03/30/2021,33127.878906,33170.929688,32988.921875,33066.960938,33066.960938,307510000
03/31/2021,33116.039063,33173.769531,32980.570313,32981.550781,32981.550781,414140000
04/01/2021,33054.578125,33167.171875,32985.351563,33153.210938,33153.210938,311880000
04/05/2021,33222.378906,33617.949219,33222.378906,33527.191406,33527.191406,344270000
04/06/2021,33500.019531,33544.789063,33380.429688,33430.238281,33430.238281,297940000
04/07/2021,33444.980469,33521.761719,33347.960938,33446.261719,33446.261719,273440000
04/08/2021,33469.890625,33506.800781,33342.640625,33503.570313,33503.570313,304040000
04/09/2021,33526.191406,33810.871094,33526.191406,33800.601563,33800.601563,316410000
04/12/2021,33775.058594,33786.191406,33665.539063,33745.398438,33745.398438,327370000
04/13/2021,33721.160156,33741.640625,33545.839844,33677.269531,33677.269531,324480000
04/14/2021,33668.949219,33911.25,33668.949219,33730.890625,33730.890625,315330000
04/15/2021,33788.53125,34068.730469,33788.53125,34035.988281,34035.988281,319680000
04/16/2021,34058.160156,34256.75,34058.160156,34200.671875,34200.671875,343760000
04/19/2021,34182.378906,34182.378906,33980.558594,34077.628906,34077.628906,312540000
04/20/2021,34034.179688,34034.179688,33687.011719,33821.300781,33821.300781,350960000
04/21/2021,33808.300781,34160.339844,33773.800781,34137.308594,34137.308594,290300000
04/22/2021,34109.878906,34126.570313,33717.191406,33815.898438,33815.898438,344470000
04/23/2021,33804.519531,34157.570313,33713.289063,34043.488281,34043.488281,346380000
04/26/2021,34044.230469,34148.941406,33941.371094,33981.570313,33981.570313,279300000
04/27/2021,33932.128906,34043.980469,33870.460938,33984.929688,33984.929688,289030000
04/28/2021,33860.460938,33946.601563,33805.558594,33820.378906,33820.378906,335820000
04/29/2021,33855.640625,34087.210938,33744.28125,34060.359375,34060.359375,408450000
04/30/2021,33988.75,33988.75,33784.960938,33874.851563,33874.851563,374890000
05/03/2021,33904.890625,34221.058594,33904.890625,34113.230469,34113.230469,289770000
05/04/2021,34080.199219,34147.78125,33765.679688,34133.03125,34133.03125,407860000
05/05/2021,34163.988281,34331.199219,34039.660156,34230.339844,34230.339844,253180000
05/06/2021,34245.109375,34561.289063,34185.058594,34548.53125,34548.53125,315430000
05/07/2021,34578.269531,34811.390625,34464.308594,34777.761719,34777.761719,303400000
05/10/2021,34785.269531,35091.558594,34741.570313,34742.820313,34742.820313,361620000
05/11/2021,34572.738281,34572.738281,34075.308594,34269.160156,34269.160156,413180000
05/12/2021,34206.398438,34207.871094,33555.21875,33587.660156,33587.660156,381350000
05/13/2021,33624.738281,34181.769531,33623.488281,34021.449219,34021.449219,350820000
05/14/2021,34050.859375,34454.050781,34050.859375,34382.128906,34382.128906,303230000
05/17/2021,34375.289063,34383.839844,34176.648438,34327.789063,34327.789063,291910000
05/18/2021,34351.179688,34408.988281,34044.101563,34060.660156,34060.660156,289590000
05/19/2021,33945.808594,33945.808594,33473.800781,33896.039063,33896.039063,348480000
05/20/2021,33906.300781,34233.398438,33872.410156,34084.148438,34084.148438,320150000
05/21/2021,34121.910156,34415.480469,34121.910156,34207.839844,34207.839844,306360000
05/24/2021,34253.871094,34472.511719,34253.871094,34393.980469,34393.980469,251010000
05/25/2021,34428.660156,34511.351563,34266.03125,34312.460938,34312.460938,285760000
05/26/2021,34336.339844,34409.589844,34271.441406,34323.050781,34323.050781,258780000
05/27/2021,34432.46875,34608.820313,34389.238281,34464.640625,34464.640625,520630000
05/28/2021,34558.5,34631.109375,34520.089844,34529.449219,34529.449219,290850000
06/01/2021,34584.191406,34849.320313,34542.871094,34575.308594,34575.308594,287700000
06/02/2021,34614.621094,34706.648438,34545.960938,34600.378906,34600.378906,263810000
06/03/2021,34550.308594,34667.410156,34334.410156,34577.039063,34577.039063,297380000
06/04/2021,34618.691406,34772.121094,34618.691406,34756.390625,34756.390625,270050000
06/07/2021,34766.199219,34820.910156,34574.511719,34630.238281,34630.238281,259120000
06/08/2021,34645.839844,34665.378906,34452.941406,34599.820313,34599.820313,289440000
06/09/2021,34626.160156,34654.671875,34439.371094,34447.140625,34447.140625,245100000
06/10/2021,34502.511719,34737.789063,34447.25,34466.238281,34466.238281,309310000
06/11/2021,34499.808594,34618.089844,34328.648438,34479.601563,34479.601563,260840000
06/14/2021,34472.519531,34472.519531,34211.539063,34393.75,34393.75,295530000
06/15/2021,34397.101563,34420.378906,34199.160156,34299.328125,34299.328125,272430000
06/16/2021,34308.480469,34333.25,33917.109375,34033.671875,34033.671875,347150000
06/17/2021,34014.378906,34091.789063,33626.609375,33823.449219,33823.449219,354690000
06/18/2021,33622.699219,33622.699219,33271.929688,33290.078125,33290.078125,563920000
06/21/2021,33312.070313,33908.089844,33312.070313,33876.96875,33876.96875,317260000
06/22/2021,33872.558594,34040.699219,33751.058594,33945.578125,33945.578125,284130000
06/23/2021,33948.539063,34009.398438,33869.828125,33874.238281,33874.238281,255280000
